objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,link
tp00056,,,,Les pêcheurs de perles,,1999,The Pearl Fishers, Opéra in three acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00057,aidaolo.jpg,,,Aida,Verdi,1997,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00058,,,,Madama Butterfly,Puccini,1996,Madame Butterfly,Tragedia giapponese in two acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00059,,,,Tosca,Puccini,1994,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00060,dwfm-promo.jpg,,,Promotional photo,,2018,,,London,43.00735265,-81.2705523,,,Image;StillImage,image/jpeg,,,,
tp00061,figarodwfm-JanFeb2019,,,Figaro,Mozart,2019,,,London,,,,,Image;StillImage,image/jpeg,,,,
tp00062,img20250410_12050482.jpg,,,Capital's TOP 50,Ottawa life magezine,2006,,,Ottawa,,,,,Image;StillImage,image/jpeg,,,,
tp00063,trenzottawa-mag2006.jpg,,,Gala,,2006,,,Ottawa,,,,,Image;StillImage,image/jpeg,,,,
tp00064,ty-principalconductor-moa20.jpg,,,,,2025,,,Winnipeg,,,,,Image;StillImage,image/jpeg,,,,
tp00065,ty-eye-cue.jpg,,,,,2023,,,Winnipeg,,,,,Image;StillImage,image/jpeg,,,,
tp00066,50th-ann-moa.jpg,,,50th anniversary Concert,,,,,Winnipeg,,,,,Image;StillImage,image/jpeg,,,,
tp00067,dwfm-flute2017.jpg,,,Die Zauberflote,Mozart,2017,,,London,43.00735265,-81.2705523,,,Image;StillImage,image/jpeg,,,,
tp00068,carmen-fresno-2011.jpg,,,Carmen,Bizet,2011,,,"Fresno, Calif.",36.73436992,-119.7891321,,,Image;StillImage,image/jpeg,,,,
tp00069,bejing-2003.jpg,,,,,,,,China,39.93361792,116.4139371,,,Image;StillImage,image/jpeg,,,,
tp00070,cinder-brott2022.jpg,,,Cenerentola,Rossini,2022,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00071,gala-brott2022.jpg,,,,,2022,,,"Hamilton, Ont",43.25166731,-79.87137209,,,Image;StillImage,image/jpeg,,,,
tp00072,gala-pov1995.jpg,,,"Gala, Pacific Opera Victoria",,,,,Victoria ,48.42877166,-123.3667005,,,Image;StillImage,image/jpeg,,,,
tp00073,pasquale-pov1993.jpg,,,Don Pasquale,Donizetti,1993,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00074,barber-voa1998.jpg,,,Barber of Seville,Rossini,1998,,, Vancouver,,,,,Image;StillImage,image/jpeg,,,,
tp00075,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00076,carousel-co1992.jpg,,,Carousel,Rodgers and Hammerstein,1992,,,"Calgary, AB","51.07656315825203, -114.13064879788361",,,,Image;StillImage,image/jpeg,,,,
tp00077,amahlcoa.jpg,,,Amahl and the Night Visitors,Menotti,1988,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00078,amahlcoa.jpg,,,Amahl and the Night Visitors Tour,Menotti,1989,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00079,luciaolo2011.jpg,,,Lucia di Lammermoor,Donizetti,2011,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00080,babr0s2003.jpg,,,barber of Seville,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00081,barber-oc2009.jpg,,,Barber of Seville,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00082,bohemecoa1995.jpg,,,La boheme,Puccini,,,opera in four acts,Calgary,,,,,Image;StillImage,image/jpeg,,,,
tp00083,bohemeeoa.jpg,,,La boheme,Puccini,,,opera in four acts,,,,,,Image;StillImage,image/jpeg,,,,
tp00084,bohemeos.jpg,,,La boheme,Puccini,,,opera in four acts,,,,,,Image;StillImage,image/jpeg,,,,
tp00085,butterflyolo96.jpg,,,Madama butterfly,Puccini,,Madame Butterfly,Tragedia giapponese in two acts,Ottawa,,,,,Image;StillImage,image/jpeg,,,,
tp00086,butterflycoa.jpg,,,Madama Butterfly,Puccini,,Madame Butterfly,Tragedia giapponese in two acts,Calgary,,,,,Image;StillImage,image/jpeg,,,,
tp00087,butterflymoa.jpg,,,Madama Butterfly,Puccini,,Madame Butterfly,Tragedia giapponese in two acts,"Winnipeg, Centennial Concert Hall ",,,,,Image;StillImage,image/jpeg,,,,
tp00088,butterflyos.jpg,,,Madama Butterfly,Puccini,,Madame Butterfly,Tragedia giapponese in two acts,Regina,,,,,Image;StillImage,image/jpeg,,,,
tp00089,calcivicsym.jpg,,,Calgary Civic Symphony concert,,,,Concert,,,,,,Image;StillImage,image/jpeg,,,,
tp00090,candidecoaatp.jpg,,,Candide,,,,,Calgary,,,,,Image;StillImage,image/jpeg,,,,
tp00091,cyo.jpg,,,Calgary Youth Orchestra concert,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00092,daughterpov1993.jpg,,,La fille du regiment,Donizetti,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00093,erfurt.jpg,,,Otello,Verdi,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00094,figarololo.jpg,,,Nozze di Figaro,Mozart,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00095,fluteeoa.jpg,,,Die Zauberflote,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00096,fluteolo.jpg,,,Die Zauberflote,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00097,heppnermoa.jpg,,,Concert,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00098,iaidamoa.jpg,,,Aida,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00099,iamahlcoa.jpg,,,Amahl and the Night Visitors,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00100,ibutterflyos.jpg,,,Madama Butterfly,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00101,ijanacek ostrava.jpg,,,janacek,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00102,imilnecpo.jpg,,,Calgary Philharmonic Concert,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00103,imusccamrose1988.jpg,,,Music Camrose,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00104,ioperacaro2003.jpg,,,Opera Carolina,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00105,iucband2.jpg,,,U Symphonic band,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00106,luciaeao.jpg,,,Lucia di Lammermoor,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00107,macau.jpg,,,Macau,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00108,macbetholo.jpg,,,Macbeth,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00109,manonmassenetolo.jpg,,,Manon,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00110,opont.jpg,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00111,piratecoa.jpg,,,Pirates of Penzance,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00112,piratesfgo.jpg,,,Pirates of Penzance,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00113,portatmanonhumaine.jpg,,,Portrait de Manon and Voix humaine,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00114,rigolettocoa.jpg,,,Rigoletto,Verdi,,,,Calgary,,,,,Image;StillImage,image/jpeg,,,,
tp00115,rigolettomoa.jpg,,,Rigoletto,Verdi,,,,"winnipeg, Centennial Concert Hall ",,,,,Image;StillImage,image/jpeg,,,,
tp00116,rigolettomoa2004.jpg,,,Rigoletto,Verdi,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00117,rigolettomontreal.jpg,,,Rigoletto,Verdi,,,,montreal,,,,,Image;StillImage,image/jpeg,,,,
tp00118,romjuolo.jpg,,,Romeo et Juliette,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00119,teleoldmaiduc.jpg,,,the telephone an dThe old maid and the thief,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00120,toscaolo.jpg,,,Tosca,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00121,traviata.jpg,,,La traviata,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00122,traviatacoa1994.jpg,,,La traviata,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00123,traviataeoa.jpg,,,La traviata,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00124,traviatahot.jpg,,,La traviata,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00125,traviataos.jpg,,,La traviata,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00126,tribcoa1988.jpg,,,Tribute to Brian Calgary Opera,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00127,turantdotolo.jpg,,,Turandot,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00128,turantdothot.jpg,,,Turandot,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00129,ucband.jpg,,,UCalgary Symphpnic Band,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00130,UCwinddip19969.jpg,,,UCalgary Wind conducting diploma program,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00131,vivaverdi2004.jpg,,,Viva Verdi Concert,,,,,,,,,,Image;StillImage,image/jpeg,,,,
tp00132,widowcoa.jpg,,,The Merry Widow,,,,,,,,,,Image;StillImage,image/jpeg,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,,
,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,,
,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,,
